batch,calls,input_tokens,output_tokens,request_seconds,allocated_seconds
Simple ladder,8,1344,848,20.034208023920655,157.34785499999998
Simple ladder v2,8,2594,997,22.451166632585227,171.37171300000045
Compact stories v2,12,8088,5860,104.72040081117302,249.4524309999997
Published prose,9,6802,2927,57.23926058784127,205.36521600000015
